% Time (s),"Dependent variable c Sink Flux","Dependent variable c Source Flux","Dependent variable p (m^2) Total Concentration"
0,0,0,0
1.0E-7,0,0,0
2.0E-7,0,0,0
4.0E-7,0,0,0
8.0E-7,0,0,0
1.6E-6,0,0,0
3.2E-6,0,0,0
6.4E-6,0,0,0
1.28E-5,0,0,0
2.56E-5,0,0,0
5.12E-5,0,0,0
1.024E-4,0,0,0
2.048E-4,0,0,0
4.096E-4,0,0,0
8.192E-4,0,0,0
0.0016384,0,0,0
0.0032768,0,0,0
0.0065536,0,0,0
0.0131072,0,0,0
0.0262144,0,0,0
0.0524288,0,0,0
0.1048576,0,0,0
0.2097152,4.143134072338554E-32,4.558095759938908E-8,4.729913086131542E-9
0.4194304,5.930064049510491E-22,3.6726883582828905E-7,8.007252782685638E-8
0.60817408,-1.6827307603022438E-21,6.567879262342982E-7,2.0012395548932728E-7
0.9856614399999999,6.037581683984183E-16,1.2358261070463188E-6,6.423835237808018E-7
1.3631487999999998,9.726782366031385E-15,1.8148642878583384E-6,1.2791842599871544E-6
1.7406361599999998,8.117497341594267E-14,2.3939024686703602E-6,2.103449589286749E-6
2.1181235199999997,2.106101971012447E-13,2.9729406494823767E-6,3.0518779652423755E-6
2.4956108799999996,9.068278522271223E-13,3.551978830294399E-6,4.1633691867379856E-6
2.958205967128495,3.156589464964152E-12,4.26156608032434E-6,5.7469163715138874E-6
3.15832672050809,4.935037849661543E-12,4.5685367746004356E-6,6.507924663269659E-6
3.2775780710192124,6.370418832329852E-12,5.00614042793845E-6,7.003242393778301E-6
3.396829421530335,8.208145739611724E-12,5.640173983379023E-6,7.556670355334625E-6
3.4817196844307743,9.805834826718498E-12,6.139871726551128E-6,7.992053813622482E-6
3.5666099473312136,1.1717304898062539E-11,6.683839984785731E-6,8.468456031707758E-6
3.651500210231653,1.398354228429827E-11,7.276000740821691E-6,8.988541970242245E-6
3.7363904731320923,1.6674119875120326E-11,7.920623404092805E-6,9.5567015852121E-6
3.8212807360325316,1.9836296492829728E-11,8.622355582358036E-6,1.0175825446934216E-5
3.906170998932971,2.3558478756272087E-11,9.386256577858765E-6,1.0850885980302493E-5
3.9910612618334103,2.7946009762529715E-11,1.0217833849063166E-5,1.1587371115082613E-5
4.07595152473385,3.3117242683279926E-11,1.1123082700354626E-5,1.2390969569471969E-5
4.16084178763429,3.920664627794075E-11,1.2108529485193236E-5,1.3267678527381248E-5
4.24573205053473,4.636900858385083E-11,1.3181278633492413E-5,1.4223954023051516E-5
4.330622313435169,5.47833353768161E-11,1.4349063841382877E-5,1.5266813598961086E-5
4.415512576335609,6.465301915668982E-11,1.562030379137798E-5,1.6403828041107546E-5
4.500402839236049,7.62170660218365E-11,1.7004162803418914E-5,1.764333963203665E-5
4.6701833650369275,1.0557804808015147E-10,2.015052542772134E-5,2.0467056223489296E-5
4.839963890837806,1.456086017430662E-10,2.3879037890837572E-5,2.3820853628216557E-5
5.009744416638685,1.9989397642065514E-10,2.829739646266222E-5,2.7802690967779486E-5
5.1795249424395635,2.730964208253223E-10,3.3533214925930927E-5,3.252851820209208E-5
5.349305468240442,3.712394939589388E-10,3.973770571393629E-5,3.813577380569468E-5
5.519085994041321,5.020402624410607E-10,4.709004040729278E-5,4.478739179008796E-5
5.6888665198421995,6.752584120560509E-10,5.580251456767587E-5,5.267606671757714E-5
5.858647045643078,9.031999854793187E-10,6.612666471650863E-5,6.203054981737623E-5
6.028427571443957,1.2012036270553952E-9,7.836051220151638E-5,7.312210465792022E-5
6.1982080972448355,1.5881691195865757E-9,9.285714044523363E-5,8.62721287337496E-5
6.367988623045714,2.0871139796534975E-9,1.1003484946043808E-4,1.0186124555354213E-4
6.537769148846593,2.725757082285666E-9,1.303891754967628E-4,1.2034033101584916E-4
6.707549674647471,3.537088644464863E-9,1.5450711533643337E-4,1.4224360131798235E-4
6.87733020044835,4.559886483811535E-9,1.8308395531873025E-4,1.6820403134633482E-4
