% Time (s),"Dependent variable c Sink Flux","Dependent variable c Source Flux","Dependent variable p (m^2) Total Concentration","timeint(0,t,sourceFlux-sinkFlux)"
8.24918189108704,5.987897118692788E-8,7.208042184524143E-4,7.245192585816394E-4,7.238120615321782E-4
8.364830648464375,6.844280732604767E-8,8.089860607159941E-4,8.128827602231295E-4,8.121659605814065E-4
8.48047940584171,7.799177872042651E-8,9.079298168729894E-4,9.120565261105429E-4,9.113273458579663E-4
8.596128163219044,8.860371599457316E-8,0.0010189421179983412,0.0010233522050303349,0.00102261482691468
8.711776920596378,1.0035938185511539E-7,0.001143486475519699,0.001148247293863456,0.0011475070184824145
8.827425677973713,1.1334267579405604E-7,0.001283201658740822,0.0012884030836519263,0.001287661725229389
8.943074435351047,1.2764078274191762E-7,0.0014399221052619588,0.0014456807278144985,0.0014449373726242221
9.058723192728381,1.433447070123508E-7,0.0016157005572999658,0.0016221633927488467,0.001621416919129332
9.174371950105716,1.6055025259807094E-7,0.00181283312638038,0.0018201844622074948,0.0018194345444379355
9.29002070748305,1.7935934056872834E-7,0.0020338869959905773,0.002042358705904057,0.0020416053053119443
9.405669464860384,1.9988163321105862E-7,0.0022817309754181296,0.002291615441071549,0.0022908583185673815
9.521318222237719,2.2223652852999083E-7,0.0025595691166939234,0.0025712348275129084,0.002570473492210449
9.636966979615053,2.4655559109095027E-7,0.0028709775984520885,0.0028848885097302753,0.0028841224102720453
9.752615736992388,2.729854440852961E-7,0.0032199450632467166,0.003236685049729044,0.0032359136655107142
9.868264494369722,3.016911247654242E-7,0.0036109165654593946,0.0036312202607825654,0.0036304430651891762
9.983913251747056,3.328599083564662E-7,0.004048841241689229,0.004073632723372262,0.004072849131781346
10.09956200912439,3.6670561368579573E-7,0.004539223749859326,0.0045696649727459656,0.004568874335465794
10.215210766501725,4.0347340605723054E-7,0.00508817943158526,0.005125730870314247,0.0051249324871056375
10.33085952387906,4.434451129253341E-7,0.005702493027812219,0.00574898959188753,0.005748182729743
10.446508281256394,4.869450715673872E-7,0.0063896806121387885,0.006447426600518974,0.006446610491725128
