p_diric_aff,lmda,Time (s),"Dependent variable c Sink Flux","Dependent variable c Source Flux","Dependent variable p (m^2) Total Concentration"
0.5,0.25,105,7.974183668974406E-14,0,2.909950707840876E-12
0.5,0.25,110,2.3556709347945425E-14,0,8.402276036500143E-13
0.5,0.25,115,4.219357985733602E-15,0,1.4130477785936473E-13
0.5,0.25,120,6.089419999762957E-16,0,1.7506714808055583E-14
0.5,0.25,125,2.7687241211154622E-17,0,4.308304872322797E-17
0.5,0.25,130,-6.613843888844252E-18,0,-3.5542631597909655E-16
0.5,0.25,135,-3.2028243427146313E-18,0,-1.5502051507903073E-16
0.5,0.25,140,-1.7822124123547644E-18,0,-8.248348758292138E-17
0.5,0.25,145,-1.0198463384531332E-18,0,-4.4698586677258486E-17
0.5,0.25,150,-7.0281147291805075E-19,0,-3.042497167790176E-17
